		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100110000  250  256  222  293  233  257  262  250 15.664560 0.047441 SUCCESS  78
100111000  233  229  263  246  252  263  231  233  6.044140 0.642287 SUCCESS  79
101000000  242  250  237  236  229  257  264  218  6.896770 0.547810 SUCCESS  80
101000100  237  228  235  237  241  236  253  253  2.872992 0.942073 SUCCESS  81
101001000  240  232  239  249  241  234  247  231  2.147462 0.976154 SUCCESS  82
101001100  236  245  245  242  236  275  277  231  9.932345 0.269807 SUCCESS  83
101010000  248  244  246  255  251  261  263  249  3.596404 0.891580 SUCCESS  84
101010100  266  251  250  240  237  263  242  226  5.581284 0.694019 SUCCESS  85
101011000  267  230  281  246  224  238  263  238 12.381141 0.134991 SUCCESS  86
101011100  241  219  241  231  249  249  264  229  6.331175 0.610188 SUCCESS  87
101100000  266  253  245  234  240  212  246  219  9.932345 0.269807 SUCCESS  88
101100100  262  242  255  246  257  228  261  257  5.601408 0.691781 SUCCESS  89
101101000  238  274  233  221  255  223  265  259 11.905574 0.155467 SUCCESS  90
101101100  241  245  235  267  237  232  224  253  5.501846 0.702835 SUCCESS  91
101110000  258  236  243  219  274  246  238  244  7.730335 0.460245 SUCCESS  92
101110100  225  233  257  232  259  244  210  256  9.867736 0.274432 SUCCESS  93
101111000  254  253  235  261  266  236  237  264  6.501701 0.591219 SUCCESS  94
101111100  229  255  231  260  248  254  251  268  6.359772 0.607000 SUCCESS  95
110000000  261  260  259  245  239  265  261  249  6.479458 0.593687 SUCCESS  96
110000010  275  269  226  260  221  254  219  242 14.492062 0.069808 SUCCESS  97
110000100  249  204  240  241  214  227  243  255 12.628986 0.125269 SUCCESS  98
110001000  245  226  225  254  255  239  250  256  4.713826 0.787679 SUCCESS  99
110001010  247  251  222  254  247  271  261  234  7.458129 0.488104 SUCCESS 100
110010000  230  243  251  245  235  250  243  240  1.630589 0.990321 SUCCESS 101
110010010  251  265  234  260  265  237  228  273 10.243740 0.248334 SUCCESS 102
110010100  250  238  245  266  260  235  268  243  6.176536 0.627465 SUCCESS 103
110011000  248  252  235  271  239  255  240  247  4.458566 0.813564 SUCCESS 104
110011010  253  253  251  254  253  239  252  232  2.611378 0.956335 SUCCESS 105
110100000  243  256  240  248  237  290  253  236 10.483112 0.232740 SUCCESS 106
110100010  232  245  257  247  239  214  251  264  7.193337 0.515924 SUCCESS 107
110100100  227  230  261  245  249  229  234  225  6.351299 0.607945 SUCCESS 108
110101000  247  239  242  250  238  257  249  220  3.739391 0.879838 SUCCESS 109
110101010  252  259  271  256  246  261  252  233  6.866054 0.551151 SUCCESS 110
110101100  258  207  263  250  212  234  262  256 15.068249 0.057832 SUCCESS 111
110110000  221  255  240  229  221  212  240  224 12.233916 0.141068 SUCCESS 112
110110010  253  251  245  256  227  232  243  255  3.506375 0.898694 SUCCESS 113
110110100  228  244  242  240  219  214  266  260 10.807217 0.212864 SUCCESS 114
110111000  261  231  226  232  274  250  244  214 11.723397 0.163978 SUCCESS 115
